2016-11-18 17:23:38.064 [Thread-5] INFO  uk.co.streefland.rhys.finalyearproject.core.LocalNode - FinalYearProject build 1710
2016-11-18 17:23:38.066 [Thread-5] INFO  uk.co.streefland.rhys.finalyearproject.core.LocalNode - Saved state not found
2016-11-18 17:23:38.074 [Thread-5] INFO  uk.co.streefland.rhys.finalyearproject.core.LocalNode - LocalNode ID:F429638DE22470506FD752005157E260E5A905EE
2016-11-18 17:23:38.074 [Thread-5] INFO  uk.co.streefland.rhys.finalyearproject.core.Server - Starting server
2016-11-18 17:23:38.075 [Thread-8] INFO  uk.co.streefland.rhys.finalyearproject.core.Server - Server is listening on port 12345
2016-11-18 17:23:38.075 [Thread-5] INFO  uk.co.streefland.rhys.finalyearproject.core.LocalNode - Bootstrapping localnode F429638DE22470506FD752005157E260E5A905EE to node DF564987996226E2F90C0200153B26040687E5A1
2016-11-18 17:23:39.086 [Thread-5] INFO  uk.co.streefland.rhys.finalyearproject.core.Server - Shutting down server
2016-11-18 17:23:39.086 [Thread-5] INFO  uk.co.streefland.rhys.finalyearproject.core.LocalNode - Server shut down successfully
2016-11-18 17:23:49.514 [Thread-10] INFO  uk.co.streefland.rhys.finalyearproject.core.LocalNode - FinalYearProject build 1710
2016-11-18 17:23:49.515 [Thread-10] INFO  uk.co.streefland.rhys.finalyearproject.core.LocalNode - Saved state not found
2016-11-18 17:23:49.516 [Thread-10] INFO  uk.co.streefland.rhys.finalyearproject.core.LocalNode - LocalNode ID:0F5454B1DB5B784E4F8DCF6EFD1F5FDF3BE7BBD9
2016-11-18 17:23:49.516 [Thread-10] INFO  uk.co.streefland.rhys.finalyearproject.core.Server - Starting server
2016-11-18 17:23:49.516 [Thread-10] INFO  uk.co.streefland.rhys.finalyearproject.core.LocalNode - Bootstrapping localnode 0F5454B1DB5B784E4F8DCF6EFD1F5FDF3BE7BBD9 to node 854050AEBF9C3F0F560D78FC636F026F71717448
2016-11-18 17:23:49.516 [Thread-12] INFO  uk.co.streefland.rhys.finalyearproject.core.Server - Server is listening on port 12345
2016-11-18 17:23:49.608 [pool-4-thread-3] WARN  uk.co.streefland.rhys.finalyearproject.operation.FindNodeOperation - Incoming message was of a different type
2016-11-18 17:23:49.608 [pool-4-thread-3] WARN  uk.co.streefland.rhys.finalyearproject.operation.FindNodeOperation - class uk.co.streefland.rhys.finalyearproject.message.node.FindNodeMessage
2016-11-18 17:23:50.653 [pool-4-thread-3] WARN  uk.co.streefland.rhys.finalyearproject.operation.FindNodeOperation - Incoming message was of a different type
2016-11-18 17:23:50.651 [pool-4-thread-4] WARN  uk.co.streefland.rhys.finalyearproject.operation.FindNodeOperation - Incoming message was of a different type
2016-11-18 17:23:50.652 [pool-4-thread-9] WARN  uk.co.streefland.rhys.finalyearproject.operation.FindNodeOperation - Incoming message was of a different type
2016-11-18 17:23:50.651 [pool-4-thread-6] WARN  uk.co.streefland.rhys.finalyearproject.operation.FindNodeOperation - Incoming message was of a different type
2016-11-18 17:23:50.652 [pool-4-thread-7] WARN  uk.co.streefland.rhys.finalyearproject.operation.FindNodeOperation - Incoming message was of a different type
2016-11-18 17:23:50.654 [pool-4-thread-2] WARN  uk.co.streefland.rhys.finalyearproject.operation.FindNodeOperation - Incoming message was of a different type
2016-11-18 17:23:50.656 [pool-4-thread-7] WARN  uk.co.streefland.rhys.finalyearproject.operation.FindNodeOperation - class uk.co.streefland.rhys.finalyearproject.message.node.FindNodeMessage
2016-11-18 17:23:50.651 [pool-4-thread-5] WARN  uk.co.streefland.rhys.finalyearproject.operation.FindNodeOperation - Incoming message was of a different type
2016-11-18 17:23:50.654 [pool-4-thread-10] WARN  uk.co.streefland.rhys.finalyearproject.operation.FindNodeOperation - Incoming message was of a different type
2016-11-18 17:23:50.656 [pool-4-thread-6] WARN  uk.co.streefland.rhys.finalyearproject.operation.FindNodeOperation - class uk.co.streefland.rhys.finalyearproject.message.node.FindNodeMessage
2016-11-18 17:23:50.656 [pool-4-thread-9] WARN  uk.co.streefland.rhys.finalyearproject.operation.FindNodeOperation - class uk.co.streefland.rhys.finalyearproject.message.node.FindNodeMessage
2016-11-18 17:23:50.656 [pool-4-thread-4] WARN  uk.co.streefland.rhys.finalyearproject.operation.FindNodeOperation - class uk.co.streefland.rhys.finalyearproject.message.node.FindNodeMessage
2016-11-18 17:23:50.655 [pool-4-thread-3] WARN  uk.co.streefland.rhys.finalyearproject.operation.FindNodeOperation - class uk.co.streefland.rhys.finalyearproject.message.node.FindNodeMessage
2016-11-18 17:23:50.657 [pool-4-thread-6] WARN  uk.co.streefland.rhys.finalyearproject.operation.FindNodeOperation - Incoming message was of a different type
2016-11-18 17:23:50.658 [pool-4-thread-3] WARN  uk.co.streefland.rhys.finalyearproject.operation.FindNodeOperation - Incoming message was of a different type
2016-11-18 17:23:50.657 [pool-4-thread-9] WARN  uk.co.streefland.rhys.finalyearproject.operation.FindNodeOperation - Incoming message was of a different type
2016-11-18 17:23:50.658 [pool-4-thread-3] WARN  uk.co.streefland.rhys.finalyearproject.operation.FindNodeOperation - class uk.co.streefland.rhys.finalyearproject.message.node.FindNodeMessage
2016-11-18 17:23:50.658 [pool-4-thread-9] WARN  uk.co.streefland.rhys.finalyearproject.operation.FindNodeOperation - class uk.co.streefland.rhys.finalyearproject.message.node.FindNodeMessage
2016-11-18 17:23:50.658 [pool-4-thread-3] WARN  uk.co.streefland.rhys.finalyearproject.operation.FindNodeOperation - Incoming message was of a different type
2016-11-18 17:23:50.658 [pool-4-thread-9] WARN  uk.co.streefland.rhys.finalyearproject.operation.FindNodeOperation - Incoming message was of a different type
2016-11-18 17:23:50.658 [pool-4-thread-3] WARN  uk.co.streefland.rhys.finalyearproject.operation.FindNodeOperation - class uk.co.streefland.rhys.finalyearproject.message.node.FindNodeMessage
2016-11-18 17:23:50.658 [pool-4-thread-9] WARN  uk.co.streefland.rhys.finalyearproject.operation.FindNodeOperation - class uk.co.streefland.rhys.finalyearproject.message.node.FindNodeMessage
2016-11-18 17:23:50.654 [pool-4-thread-8] WARN  uk.co.streefland.rhys.finalyearproject.operation.FindNodeOperation - Incoming message was of a different type
2016-11-18 17:23:50.659 [pool-4-thread-8] WARN  uk.co.streefland.rhys.finalyearproject.operation.FindNodeOperation - class uk.co.streefland.rhys.finalyearproject.message.node.FindNodeMessage
2016-11-18 17:23:50.658 [pool-4-thread-3] WARN  uk.co.streefland.rhys.finalyearproject.operation.FindNodeOperation - Incoming message was of a different type
2016-11-18 17:23:50.657 [pool-4-thread-5] WARN  uk.co.streefland.rhys.finalyearproject.operation.FindNodeOperation - class uk.co.streefland.rhys.finalyearproject.message.node.FindNodeMessage
2016-11-18 17:23:50.659 [pool-4-thread-3] WARN  uk.co.streefland.rhys.finalyearproject.operation.FindNodeOperation - class uk.co.streefland.rhys.finalyearproject.message.node.FindNodeMessage
2016-11-18 17:23:50.659 [pool-4-thread-8] WARN  uk.co.streefland.rhys.finalyearproject.operation.FindNodeOperation - Incoming message was of a different type
2016-11-18 17:23:50.660 [pool-4-thread-8] WARN  uk.co.streefland.rhys.finalyearproject.operation.FindNodeOperation - class uk.co.streefland.rhys.finalyearproject.message.node.FindNodeMessage
2016-11-18 17:23:50.660 [pool-4-thread-3] WARN  uk.co.streefland.rhys.finalyearproject.operation.FindNodeOperation - Incoming message was of a different type
2016-11-18 17:23:50.660 [pool-4-thread-8] WARN  uk.co.streefland.rhys.finalyearproject.operation.FindNodeOperation - Incoming message was of a different type
2016-11-18 17:23:50.660 [pool-4-thread-3] WARN  uk.co.streefland.rhys.finalyearproject.operation.FindNodeOperation - class uk.co.streefland.rhys.finalyearproject.message.node.FindNodeMessage
2016-11-18 17:23:50.660 [pool-4-thread-8] WARN  uk.co.streefland.rhys.finalyearproject.operation.FindNodeOperation - class uk.co.streefland.rhys.finalyearproject.message.node.FindNodeMessage
2016-11-18 17:23:50.656 [pool-4-thread-10] WARN  uk.co.streefland.rhys.finalyearproject.operation.FindNodeOperation - class uk.co.streefland.rhys.finalyearproject.message.node.FindNodeMessage
2016-11-18 17:23:50.656 [pool-4-thread-2] WARN  uk.co.streefland.rhys.finalyearproject.operation.FindNodeOperation - class uk.co.streefland.rhys.finalyearproject.message.node.FindNodeMessage
2016-11-18 17:23:50.660 [pool-4-thread-3] WARN  uk.co.streefland.rhys.finalyearproject.operation.FindNodeOperation - Incoming message was of a different type
2016-11-18 17:23:50.660 [pool-4-thread-10] WARN  uk.co.streefland.rhys.finalyearproject.operation.FindNodeOperation - Incoming message was of a different type
2016-11-18 17:23:50.660 [pool-4-thread-2] WARN  uk.co.streefland.rhys.finalyearproject.operation.FindNodeOperation - Incoming message was of a different type
2016-11-18 17:23:50.655 [pool-4-thread-1] WARN  uk.co.streefland.rhys.finalyearproject.operation.FindNodeOperation - Incoming message was of a different type
2016-11-18 17:23:50.656 [pool-4-thread-7] WARN  uk.co.streefland.rhys.finalyearproject.operation.FindNodeOperation - Incoming message was of a different type
2016-11-18 17:23:50.658 [pool-4-thread-4] WARN  uk.co.streefland.rhys.finalyearproject.operation.FindNodeOperation - Incoming message was of a different type
2016-11-18 17:23:50.661 [pool-4-thread-3] WARN  uk.co.streefland.rhys.finalyearproject.operation.FindNodeOperation - class uk.co.streefland.rhys.finalyearproject.message.node.FindNodeMessage
2016-11-18 17:23:50.660 [pool-4-thread-6] WARN  uk.co.streefland.rhys.finalyearproject.operation.FindNodeOperation - class uk.co.streefland.rhys.finalyearproject.message.node.FindNodeMessage
2016-11-18 17:23:50.661 [pool-4-thread-9] WARN  uk.co.streefland.rhys.finalyearproject.operation.FindNodeOperation - Incoming message was of a different type
2016-11-18 17:23:50.662 [pool-4-thread-9] WARN  uk.co.streefland.rhys.finalyearproject.operation.FindNodeOperation - class uk.co.streefland.rhys.finalyearproject.message.node.FindNodeMessage
2016-11-18 17:23:50.661 [pool-4-thread-5] WARN  uk.co.streefland.rhys.finalyearproject.operation.FindNodeOperation - Incoming message was of a different type
2016-11-18 17:23:50.661 [pool-4-thread-7] WARN  uk.co.streefland.rhys.finalyearproject.operation.FindNodeOperation - class uk.co.streefland.rhys.finalyearproject.message.node.FindNodeMessage
2016-11-18 17:23:50.661 [pool-4-thread-4] WARN  uk.co.streefland.rhys.finalyearproject.operation.FindNodeOperation - class uk.co.streefland.rhys.finalyearproject.message.node.FindNodeMessage
2016-11-18 17:23:50.661 [pool-4-thread-1] WARN  uk.co.streefland.rhys.finalyearproject.operation.FindNodeOperation - class uk.co.streefland.rhys.finalyearproject.message.node.FindNodeMessage
2016-11-18 17:23:50.661 [pool-4-thread-2] WARN  uk.co.streefland.rhys.finalyearproject.operation.FindNodeOperation - class uk.co.streefland.rhys.finalyearproject.message.node.FindNodeMessage
2016-11-18 17:23:50.662 [pool-4-thread-5] WARN  uk.co.streefland.rhys.finalyearproject.operation.FindNodeOperation - class uk.co.streefland.rhys.finalyearproject.message.node.FindNodeMessage
2016-11-18 17:23:50.661 [pool-4-thread-10] WARN  uk.co.streefland.rhys.finalyearproject.operation.FindNodeOperation - class uk.co.streefland.rhys.finalyearproject.message.node.FindNodeMessage
2016-11-18 17:23:50.669 [pool-4-thread-2] WARN  uk.co.streefland.rhys.finalyearproject.operation.FindNodeOperation - Incoming message was of a different type
2016-11-18 17:23:50.670 [pool-4-thread-5] WARN  uk.co.streefland.rhys.finalyearproject.operation.FindNodeOperation - Incoming message was of a different type
2016-11-18 17:23:50.670 [pool-4-thread-5] WARN  uk.co.streefland.rhys.finalyearproject.operation.FindNodeOperation - class uk.co.streefland.rhys.finalyearproject.message.node.FindNodeMessage
2016-11-18 17:23:50.670 [pool-4-thread-5] WARN  uk.co.streefland.rhys.finalyearproject.operation.FindNodeOperation - Incoming message was of a different type
2016-11-18 17:23:50.670 [pool-4-thread-6] WARN  uk.co.streefland.rhys.finalyearproject.operation.FindNodeOperation - Incoming message was of a different type
2016-11-18 17:23:50.670 [pool-4-thread-5] WARN  uk.co.streefland.rhys.finalyearproject.operation.FindNodeOperation - class uk.co.streefland.rhys.finalyearproject.message.node.FindNodeMessage
